ZIP_CODE,STATE,west,east,south,north
"14001",NY,-78.587446,-78.428418,42.941455,43.128064
"14004",NY,-78.578348,-78.408639,42.834881,42.964522
"14005",NY,-78.348632,-78.191399,42.869901,42.965182
"14006",NY,-79.111690,-78.943193,42.588341,42.684864
"14008",NY,-78.696798,-78.574838,43.249705,43.357683
"14009",NY,-78.470377,-78.290806,42.483183,42.673441
"14011",NY,-78.424408,-78.174995,42.762174,42.902697
"14012",NY,-78.634809,-78.464868,43.281295,43.374899
"14013",NY,-78.491580,-78.324698,43.024687,43.130773
"14020",NY,-78.336527,-78.093849,42.913771,43.065656
"14024",NY,-78.339528,-78.153876,42.496743,42.663766
"14025",NY,-78.799156,-78.643842,42.579440,42.661134
"14026",NY,-78.696947,-78.677093,42.932639,42.949821
"14028",NY,-78.800373,-78.673264,43.283289,43.342089
"14030",NY,-78.568819,-78.447144,42.508239,42.606802
"14031",NY,-78.677020,-78.551909,42.954753,43.042394
"14032",NY,-78.696917,-78.563907,42.995019,43.097441
"14033",NY,-78.749903,-78.622693,42.619281,42.695951
"14034",NY,-78.950528,-78.778912,42.452656,42.532551
"14036",NY,-78.464346,-78.281569,42.920941,43.045621
"14037",NY,-78.521746,-78.396208,42.768130,42.847737
"14039",NY,-78.187503,-78.147482,42.811777,42.864672
"14040",NY,-78.464288,-78.307253,42.835878,42.923625
"14043",NY,-78.739442,-78.676574,42.860055,42.937911
"14047",NY,-79.052162,-78.936845,42.661529,42.719150
"14051",NY,-78.737958,-78.658369,42.999811,43.088681
"14052",NY,-78.696988,-78.463182,42.693841,42.842481
"14054",NY,-78.192379,-78.051720,42.859895,42.964053
"14055",NY,-78.705981,-78.508026,42.510525,42.594958
"14056",NY,-78.315356,-78.304226,42.990121,42.996295
"14057",NY,-78.972410,-78.783914,42.587044,42.698700
"14058",NY,-78.234527,-78.102224,43.044540,43.167723
"14059",NY,-78.697669,-78.555630,42.792021,42.864719
"14066",NY,-78.308912,-78.080722,42.521371,42.705350
"14067",NY,-78.626469,-78.505176,43.111095,43.305699
"14068",NY,-78.799058,-78.734164,43.006488,43.051889
"14069",NY,-78.660696,-78.609366,42.571680,42.623234
"14070",NY,-79.002323,-78.780556,42.358790,42.532655
"14072",NY,-79.023265,-78.890319,42.955857,43.069494
"14075",NY,-78.916774,-78.742153,42.636134,42.779726
"14080",NY,-78.625129,-78.461737,42.591889,42.693841
"14081",NY,-79.142526,-78.943895,42.495980,42.610500
"14082",NY,-78.435999,-78.338122,42.639159,42.684613
"14083",NY,-78.449683,-78.406632,42.672067,42.693898
"14085",NY,-78.969503,-78.890131,42.695872,42.737951
"14086",NY,-78.696863,-78.555855,42.855337,42.958891
"14091",NY,-79.004911,-78.783123,42.510753,42.576893
"14092",NY,-79.052964,-78.926225,43.131586,43.209179
"14094",NY,-78.855577,-78.545906,43.075301,43.265715
"14098",NY,-78.466429,-78.279885,43.272579,43.376330
"14102",NY,-78.577684,-78.536159,42.812565,42.857642
"14103",NY,-78.466429,-78.252442,43.122137,43.305416
"14105",NY,-78.544890,-78.426644,43.081496,43.303149
"14108",NY,-78.800382,-78.649496,43.213759,43.308920
