ZIP_CODE,STATE,west,east,south,north
"91901",CA,-116.826365,-116.596033,32.678665,32.901165
"91902",CA,-117.073624,-116.953543,32.647352,32.710720
"91905",CA,-116.395706,-116.208022,32.595852,32.871162
"91906",CA,-116.676268,-116.332966,32.581615,32.823280
"91910",CA,-117.116212,-116.990247,32.613290,32.661114
"91911",CA,-117.098257,-117.001655,32.584897,32.629152
"91913",CA,-117.016260,-116.963912,32.586628,32.661802
"91914",CA,-116.997070,-116.910265,32.643152,32.687874
"91915",CA,-116.973803,-116.921306,32.590922,32.653007
"91916",CA,-116.781437,-116.508064,32.797233,33.014211
"91917",CA,-116.866302,-116.661575,32.557218,32.668098
"91931",CA,-116.559471,-116.549293,32.848159,32.854981
"91932",CA,-117.135037,-117.092260,32.534343,32.610208
"91934",CA,-116.279716,-116.105738,32.605452,32.664605
"91935",CA,-116.939038,-116.670469,32.569347,32.782994
"91941",CA,-117.049278,-116.945001,32.739996,32.779829
"91942",CA,-117.054626,-116.984058,32.754555,32.795690
"91945",CA,-117.062478,-117.010367,32.715103,32.753443
"91950",CA,-117.122527,-117.055348,32.642205,32.693280
"91962",CA,-116.567667,-116.357030,32.655242,32.970746
"91963",CA,-116.698870,-116.531258,32.594071,32.690894
"91977",CA,-117.025216,-116.963254,32.688265,32.760997
"91978",CA,-116.976894,-116.902809,32.669892,32.745757
"91980",CA,-116.765879,-116.557007,32.565661,32.610533
"92003",CA,-117.260043,-117.150469,33.253351,33.318157
"92004",CA,-116.618248,-116.080951,32.872294,33.428893
"92007",CA,-117.290451,-117.245981,32.999390,33.036284
"92008",CA,-117.359811,-117.266688,33.119861,33.182345
"92009",CA,-117.273207,-117.216379,33.060615,33.130782
"92010",CA,-117.326489,-117.230172,33.128845,33.182122
"92011",CA,-117.331824,-117.266135,33.087484,33.129650
"92014",CA,-117.270785,-117.204131,32.930504,33.001511
"92019",CA,-116.951456,-116.792065,32.731328,32.828065
"92020",CA,-117.011122,-116.927862,32.757057,32.830570
"92021",CA,-116.962357,-116.790728,32.793310,32.892334
"92024",CA,-117.313213,-117.186317,33.018230,33.091078
"92025",CA,-117.105583,-116.928333,33.043095,33.137361
"92026",CA,-117.161060,-117.052483,33.126940,33.320194
"92027",CA,-117.085792,-116.892733,33.080201,33.210644
"92028",CA,-117.509713,-117.083118,33.283579,33.505537
"92029",CA,-117.204778,-117.069048,33.042759,33.133633
"92036",CA,-116.741511,-116.102562,32.634229,33.196164
"92037",CA,-117.282538,-117.213920,32.804705,32.928851
"92040",CA,-116.999178,-116.758429,32.823681,32.982295
"92054",CA,-117.399853,-117.326837,33.164687,33.221237
"92055",CA,-117.568799,-117.249282,33.231926,33.504606
"92056",CA,-117.333470,-117.248864,33.152639,33.248500
"92057",CA,-117.334812,-117.241895,33.208603,33.296244
"92058",CA,-117.424628,-117.287729,33.200256,33.371216
"92059",CA,-117.151590,-116.826408,33.332718,33.430389
"92060",CA,-116.927891,-116.839661,33.299073,33.371640
"92061",CA,-117.051084,-116.814603,33.255553,33.352896
"92064",CA,-117.078388,-116.955795,32.927194,33.066405
"92065",CA,-117.003273,-116.675616,32.917423,33.164135
"92066",CA,-116.623825,-116.482310,33.165770,33.341824
"92067",CA,-117.238876,-117.121907,32.970097,33.062828
"92069",CA,-117.207951,-117.108947,33.128987,33.241526
