zip_code,bedrooms,market_rate
14001,1,850
14001,1,1800
14004,1,1800
14004,1,1669
14004,1,1750
14006,1,1395
14006,1,1100
14008,1,1050
14010,1,1290
14010,1,1360
14010,1,1280
14010,1,1210
14010,1,1050
14010,1,925
14013,1,950
14013,1,850
14025,1,875
14026,1,1588
14028,1,1050
14031,1,1750
14031,1,2007
14031,1,1588
14031,1,1496
14031,1,1878
14031,1,1050
14031,1,1750
14032,1,1050
14032,1,1878
14032,1,1750
14032,1,1750
14033,1,875
14034,1,1150
14034,1,800
14043,1,1588
14043,1,1338
14043,1,1150
14043,1,1395
14043,1,1085
14043,1,1100
14043,1,1025
14043,1,1150
14043,1,1095
14043,1,1115
14047,1,1395
14051,1,1878
14051,1,1380
14051,1,1050
14052,1,1800
14052,1,1310
14052,1,1338
14052,1,1150
14052,1,1540
14052,1,1450
14052,1,1600
14052,1,1225
14055,1,1100
14057,1,1395
14057,1,875
14059,1,1150
14059,1,1310
14059,1,1338
14059,1,1150
14059,1,1800
14059,1,1625
14059,1,1115
14061,1,1100
14067,1,700
14068,1,1130
14068,1,1350
14068,1,1130
14070,1,1150
14070,1,800
14072,1,1656
14072,1,850
14072,1,950
14072,1,1695
14072,1,1600
14072,1,1150
14072,1,1282
14072,1,1075
14072,1,1005
14072,1,1325
14075,1,1360
14075,1,1210
14075,1,1050
14075,1,925
14075,1,1285
14075,1,1310
14075,1,1290
14075,1,1280
14075,1,1175
14075,1,1540
14075,1,1450
14081,1,1100
14081,1,800
14085,1,1395
14086,1,1669
14086,1,1095
14086,1,2007
14086,1,1588
14086,1,1496
14086,1,1380
14086,1,1338
14086,1,1150
14086,1,1395
14092,1,1380
14092,1,750
14094,1,807
14094,1,1075
14094,1,835
14094,1,835
14094,1,800
14094,1,950
14094,1,900
14094,1,1695
14094,1,1190
14094,1,1460
14094,1,1150
14094,1,1878
14094,1,1075
14094,1,925
14095,1,807
14095,1,1075
14095,1,835
14095,1,835
14095,1,800
14095,1,950
14095,1,900
14103,1,950
14103,1,850
14103,1,695
14103,1,850
14103,1,3600
14105,1,950
14105,1,850
14105,1,695
14105,1,850
14105,1,3600
14107,1,1380
14108,1,1050
14110,1,875
14111,1,1100
14111,1,875
14120,1,1695
14120,1,1190
14120,1,1460
14120,1,1150
14120,1,995
14120,1,1075
14120,1,1000
14120,1,1295
14120,1,1656
14120,1,1495
14120,1,1878
14120,1,807
14120,1,1275
14120,1,1075
14127,1,1310
14127,1,1290
14127,1,1280
14127,1,1175
14127,1,1540
14127,1,1450
14127,1,1000
14127,1,1285
14127,1,1360
14127,1,1210
14127,1,1000
14127,1,1050
14127,1,925
14127,1,1050
14139,1,1800
14140,1,1338
14140,1,1150
14140,1,1800
14140,1,1150
14141,1,1100
14141,1,875
14144,1,1380
14150,1,1075
14150,1,1005
14150,1,875
14150,1,925
14150,1,750
14150,1,950
14150,1,1250
14150,1,1695
14150,1,1600
14150,1,1295
14150,1,1656
14150,1,1495
14150,1,1282
14150,1,1295
14151,1,1695
14151,1,1190
14151,1,1460
14151,1,1600
14151,1,1150
14151,1,1075
14151,1,1005
14170,1,1540
14174,1,1380
14201,1,1320
14201,1,1620
14201,1,1175
14201,1,1575
14201,1,1000
14201,1,1350
14201,1,1375
14201,1,1760
14201,1,1295
14201,1,1751
14201,1,1850
14201,1,1750
14201,1,1450
14201,1,1095
14202,1,1850
14202,1,1750
14202,1,1275
14202,1,1425
14202,1,875
14202,1,1110
14202,1,1550
14202,1,1760
14202,1,1320
14202,1,1620
14202,1,1295
14202,1,1751
14202,1,1450
14202,1,1370
14203,1,1760
14203,1,1751
14203,1,1575
14203,1,1900
14203,1,1700
14203,1,1200
14203,1,2055
14203,1,1320
14203,1,1620
14203,1,1525
14203,1,1300
14203,1,1295
14203,1,1850
14203,1,1750
14204,1,1370
14204,1,1825
14204,1,1490
14204,1,1390
14204,1,1075
14204,1,1760
14204,1,1295
14204,1,1751
14204,1,1850
14204,1,1750
14204,1,1450
14204,1,1095
14205,1,1760
14205,1,1320
14205,1,1620
14205,1,1282
14205,1,1525
14205,1,1300
14205,1,1295
14206,1,900
